Unnamed: 0,review,rating,topic,topic_probability,topic_label,rating_number_only,sentiment
10889,bad none self kiosk registr open slow worker line guest item stead ice tea fry cold little bit filthy worker ice cream customer person hospitality business manager owner restaurant lot money working habit common,1 star,0,0.44582903,"Bad service, wrong orders, rude staff",1,negative
10890,minute drink sauce entire burger order,1 star,3,0.5951709,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
10891,ridiculous train staff,1 star,4,0.54151875,"Long wait times, slow drive-thru",1,negative
10892,bad place negative star possible homeless creepy people inside staff clueless rude concept customer service minute double quarter fry fry cold cashier cold fry busy seedy looking guy counter restaurant urban much south beach cost,1 star,0,0.4918889,"Bad service, wrong orders, rude staff",1,negative
10893,bad experience menu cold bun long burger warm enough melt cheese,1 star,3,0.36462852,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
10894,mcdonald frequent mcdonald breakfast thing edible steak patty steak tired one,1 star,3,0.44490352,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
10895,place greasy chicken nugget chicken sandwich sauce large chicken nugget bun wait time min item bad macdonald,1 star,3,0.61060506,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
10896,bad mcdonald awful giant cluster people order kiosk order correct food fix mcdonald crave,1 star,0,0.8230156,"Bad service, wrong orders, rude staff",1,negative
10897,bad mcdonald many staff time bad experience food cold right order table filthy toilet,1 star,0,0.55271155,"Bad service, wrong orders, rude staff",1,negative
10898,food amazing quick fresh good burger fresh fry fresh hotreminded food,5 stars,5,0.47018582,"Miscellanous, general complains about environment",5,positive
10899,location rude impatient place employee simple female staff rude,1 star,0,0.67817223,"Bad service, wrong orders, rude staff",1,negative
10900,horrible worker pm late night menu select item quarter pounder big mac fish fillet kid fry large fry old hispanic manager refund star,1 star,3,0.3466495,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
10901,moron cone cone different courier minute ice cream guy,1 star,0,0.895632,"Bad service, wrong orders, rude staff",1,negative
10902,normal nugget chili nugget,3 stars,3,0.54167813,"Food quality issues (cold/old fries, burgers, nuggets)",3,neutral
10903,place busy long time order,4 stars,4,0.8600503,"Long wait times, slow drive-thru",4,positive
10904,nice ordering machine cash payment option fantastic lot option,4 stars,0,0.32728156,"Bad service, wrong orders, rude staff",4,positive
10905,horrible place filthyservice terrible fix early min food waterd dirty food floor dirty homeless people tourist fault,1 star,4,0.30278137,"Long wait times, slow drive-thru",1,negative
10906,place dirty restroom parking mcdonald way park customer interaction minimal mcdonald purchasing mechanism people receipt show cashier food quick tip able cash prepurchase money cashier mechanism mechanism kind creditdebit card,5 stars,0,0.5023971,"Bad service, wrong orders, rude staff",5,positive
10907,amazing place service,5 stars,1,0.5361984,"Fast and quick service, clean place, friendly staff",5,positive
10908,service appalling food age dirty store toilet incorrect order min creepy staff fast holiday whole experience,1 star,1,0.4717923,"Fast and quick service, clean place, friendly staff",1,negative
10909,terrible staff place,1 star,1,0.53630286,"Fast and quick service, clean place, friendly staff",1,negative
10910,wth minute terrible location skip cost bad management bad food organization mess,1 star,0,0.38494697,"Bad service, wrong orders, rude staff",1,negative
10911,bad mcdonald oil top minute order paper bag place,1 star,0,0.46611887,"Bad service, wrong orders, rude staff",1,negative
10912,bad mcdonald menu large beach well restaurant,1 star,3,0.49330267,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
10913,horrible service donald time mess order 30min son,1 star,0,0.5292336,"Bad service, wrong orders, rude staff",1,negative
10914,bad mcdonald,1 star,0,0.72028637,"Bad service, wrong orders, rude staff",1,negative
10915,close bad service tourist mcdonald customer time customer hate place much lack care customer service corporate management mcdonald,1 star,0,0.6262337,"Bad service, wrong orders, rude staff",1,negative
10916,bad service disabled outside window here money call police,1 star,0,0.48814347,"Bad service, wrong orders, rude staff",1,negative
10917,rude service fry underdone cold sweet tea bag sugar throat apocalypse zombie place,1 star,3,0.6088555,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
10918,terrible attention minute delivery burger,1 star,4,0.36103106,"Long wait times, slow drive-thru",1,negative
10919,place horrible horrible costumer service sprite taste water taste knock water 3my friend oreo taste eggnogg fry cold napkin wrapcpy soggy bad dirty time,1 star,0,0.45534644,"Bad service, wrong orders, rude staff",1,negative
10920,racist female foreign accent black people receipt cash purchase large fry form payment nasty rude,1 star,0,0.35135323,"Bad service, wrong orders, rude staff",1,negative
10921,open hour day breakfast,5 stars,4,0.8325068,"Long wait times, slow drive-thru",5,positive
10922,nasty planet multiple homeless people diner filthy mention bathroom front restaurant kitchen like wish picture,1 star,5,0.45006737,"Miscellanous, general complains about environment",1,negative
10923,bad experience fast food line mcdonal thier alot people staff phone line 2nd long order attitude fir long min heated mcdonal 3rd meal wrong everytime alot time girl eye worker long comw day respectful smilesif work polite need 1st time good bad today ny place service,1 star,0,0.36381787,"Bad service, wrong orders, rude staff",1,negative
10924,min line order number large,1 star,4,0.673858,"Long wait times, slow drive-thru",1,negative
10925,order terminal cause table number sign table number able employe counter retarded order bad,1 star,0,0.6042383,"Bad service, wrong orders, rude staff",1,negative
10926,good coffee,5 stars,2,0.3888933,"Overall good price, quality, service",5,positive
10927,place cashier security absolute otrosity many homeless people establishment mcdonald homeless shelter reason star,1 star,5,0.52072704,"Miscellanous, general complains about environment",1,negative
10928,food cordial restaurant filthy,3 stars,5,0.55315125,"Miscellanous, general complains about environment",3,neutral
10929,food min worth money quality good other,3 stars,0,0.41129604,"Bad service, wrong orders, rude staff",3,neutral
10930,crystal manager issue nice dining experience night wonderful staff,5 stars,1,0.37216708,"Fast and quick service, clean place, friendly staff",5,positive
10931,bad uneducated rude employee manager cocacola flat water bad taste full drunk drug addict homeless people,1 star,0,0.5752787,"Bad service, wrong orders, rude staff",1,negative
10932,clean fast service,4 stars,1,0.79154915,"Fast and quick service, clean place, friendly staff",4,positive
10933,unable mcdonald app purchase meal lack communication order ready order min indefinite time chicken nugget sauce nugget bbq value menu menue finish non hand dryi,1 star,3,0.36419648,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
10934,service slow min simple order rush hour unpleasant staff,1 star,4,0.3354196,"Long wait times, slow drive-thru",1,negative
10935,crowded dirty yelled order ready bag food,1 star,1,0.4957189,"Fast and quick service, clean place, friendly staff",1,negative
10936,food good bit service awful cashier attitude order right top person handing order thing ketchup,2 stars,0,0.7419559,"Bad service, wrong orders, rude staff",2,negative
10937,staff talk language store trash container whole hour food disrespectful homeless people,2 stars,4,0.4062432,"Long wait times, slow drive-thru",2,negative
10938,good meal good price,5 stars,2,0.6193558,"Overall good price, quality, service",5,positive
10939,hot water parent charge tea routine uncomfortable,1 star,0,0.45233867,"Bad service, wrong orders, rude staff",1,negative
10940,location disorganized dirty cleaning table filthy worker helpful bathroom nasty,1 star,1,0.39957008,"Fast and quick service, clean place, friendly staff",1,negative
10941,terrible experience guy rude customer employee minute line order hand order order stroke man fast order job guy lot good worker job guy employee change face quit life bad experience gay people nice problem,1 star,0,0.6898536,"Bad service, wrong orders, rude staff",1,negative
10942,many rude employee manager flea market social skill,1 star,0,0.6352885,"Bad service, wrong orders, rude staff",1,negative
10943,bad mcdonald entire life cashier order wrong look fault meal sandwitche front worker sauce,1 star,0,0.5127557,"Bad service, wrong orders, rude staff",1,negative
10944,bad mcdonald man dmz nude visit monument inefficiency pm value meal available chance order menu month close location save sanity extra distance 16th visit location,1 star,4,0.4131435,"Long wait times, slow drive-thru",1,negative
10945,convenience reliability mcdonald population significance mcdonald fry,4 stars,2,0.46478152,"Overall good price, quality, service",4,positive
10946,time week great food unhealthy people movie supersize obese heart attack shape bionic,5 stars,5,0.3788386,"Miscellanous, general complains about environment",5,positive
10947,business actual food plastic food industry chicken nugget gunk tear actual chicken rest case,5 stars,3,0.4070893,"Food quality issues (cold/old fries, burgers, nuggets)",5,positive
10948,scam first time wrong change second time waiter wrong change money ticket less ticket shame,1 star,0,0.5423618,"Bad service, wrong orders, rude staff",1,negative
10949,employee rude nugget sauce sauce cashier attitude sauce bbq bad mcdonald,1 star,0,0.47507787,"Bad service, wrong orders, rude staff",1,negative
10950,equal new,4 stars,3,0.7219414,"Food quality issues (cold/old fries, burgers, nuggets)",4,positive
10951,star employee rude manager use restroom theirre,1 star,0,0.87990576,"Bad service, wrong orders, rude staff",1,negative
10952,dirty,1 star,1,0.5833296,"Fast and quick service, clean place, friendly staff",1,negative
10953,staff ricardo manager great serviceand place order machine place order food tablewaiter,1 star,0,0.52419883,"Bad service, wrong orders, rude staff",1,negative
10954,low,2 stars,2,0.58249694,"Overall good price, quality, service",2,negative
10955,time mcdonald least minute food kiosk ordering messed location location,1 star,0,0.6058465,"Bad service, wrong orders, rude staff",1,negative
10956,bad place bad mcdonald staff useless talk line door flat ass soda min drink simple item meal hour food cold time food first min,1 star,0,0.4959591,"Bad service, wrong orders, rude staff",1,negative
10957,bad mcdonald stuff slow lot mobile,1 star,4,0.37092406,"Long wait times, slow drive-thru",1,negative
10958,slow many new people kitchen order order,1 star,5,0.425813,"Miscellanous, general complains about environment",1,negative
10959,busy order number servce,5 stars,0,0.78892756,"Bad service, wrong orders, rude staff",5,positive
10961,food great full menu available request legal requirement spoilt trip sad compare calorie price,1 star,3,0.44849038,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
10962,typical fast restaurant store manager deal store purchasing food drink people,4 stars,1,0.30931276,"Fast and quick service, clean place, friendly staff",4,positive
10963,good value meal double quarter pounder cheese sandwich glass water,5 stars,3,0.5607121,"Food quality issues (cold/old fries, burgers, nuggets)",5,positive
10964,slow service crazy long line morning customer homeless,2 stars,4,0.41992986,"Long wait times, slow drive-thru",2,negative
10965,food good service great cash register morning cash open morning traffic,4 stars,0,0.352005,"Bad service, wrong orders, rude staff",4,positive
10966,combo large register guy large combo possible nancy,1 star,3,0.2709058,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
10967,bad attention food price waiter rude customer food cold,1 star,0,0.44198245,"Bad service, wrong orders, rude staff",1,negative
10968,long time food food coldwhen self screen order line payac hot,2 stars,4,0.39285997,"Long wait times, slow drive-thru",2,negative
10969,good late night snack late restaurant clean beware homeless later night,3 stars,4,0.6054898,"Long wait times, slow drive-thru",3,neutral
10970,poor service order sausage mcmuffin egg price egg bad service,1 star,4,0.4129315,"Long wait times, slow drive-thru",1,negative
10971,good staff food,5 stars,1,0.44810066,"Fast and quick service, clean place, friendly staff",5,positive
10972,ass buddy cashier friend pc nugget pc medium drink medium cup con artist,1 star,3,0.42881203,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
10973,dirty whole restaurant trash food staff friendly hand,1 star,1,0.5068523,"Fast and quick service, clean place, friendly staff",1,negative
10974,thing 24h,2 stars,3,0.5812644,"Food quality issues (cold/old fries, burgers, nuggets)",2,negative
10975,busy,3 stars,5,0.5813161,"Miscellanous, general complains about environment",3,neutral
10976,rude disorganized minute coffee,1 star,0,0.8321155,"Bad service, wrong orders, rude staff",1,negative
10977,bad mcdonald half menu item large terrible service rude staff order wrong hard time correct order,1 star,0,0.73117304,"Bad service, wrong orders, rude staff",1,negative
10978,worker threat customer bathroon old peopl,1 star,0,0.54122126,"Bad service, wrong orders, rude staff",1,negative
10979,horrible service attitude number food first time place free food attitude adjustment,1 star,0,0.9298475,"Bad service, wrong orders, rude staff",1,negative
10980,trendy touristy right ventricale modern bad ace window shopping,4 stars,0,0.5276254,"Bad service, wrong orders, rude staff",4,positive
10981,minute order person front thank cheeseburger service polite single person,1 star,0,0.81099814,"Bad service, wrong orders, rude staff",1,negative
10982,good meal expensive meal menu subway cheap healthy block,1 star,3,0.31697991,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
10983,mcdonald excellent girl registerdont name sweetheart dee,5 stars,0,0.50817835,"Bad service, wrong orders, rude staff",5,positive
10984,terrible customer service card machine self service people queue order ridiculous staff miserable,1 star,0,0.67316645,"Bad service, wrong orders, rude staff",1,negative
10985,order system horrible bad quick coffee forget place minute order,1 star,0,0.73130316,"Bad service, wrong orders, rude staff",1,negative
10986,bad service,1 star,0,0.72086835,"Bad service, wrong orders, rude staff",1,negative
10987,mcdonald clean food toilet fine,3 stars,2,0.4158231,"Overall good price, quality, service",3,neutral
10988,mcdonald town food fresh,5 stars,2,0.47953555,"Overall good price, quality, service",5,positive
10989,toilet worste war field dirty enough space receipt machine order place,1 star,0,0.45358503,"Bad service, wrong orders, rude staff",1,negative
10990,bad world water flavor cheap big good way napkin avaliable,1 star,0,0.5305003,"Bad service, wrong orders, rude staff",1,negative
10991,good staff customer service skill milk coffee idea sugar package sugar order good,1 star,0,0.34194604,"Bad service, wrong orders, rude staff",1,negative
10992,bad mcdonald company,1 star,0,0.49647635,"Bad service, wrong orders, rude staff",1,negative
10993,regular mcdonald nice area nice cle,5 stars,1,0.41175023,"Fast and quick service, clean place, friendly staff",5,positive
10994,english spanish staff kind food restaurant good bathroom clean,5 stars,1,0.535305,"Fast and quick service, clean place, friendly staff",5,positive
10995,bad experience,1 star,0,0.72197545,"Bad service, wrong orders, rude staff",1,negative
10996,bad busy staff soso order wrong,1 star,0,0.8598986,"Bad service, wrong orders, rude staff",1,negative
10997,slow unprofessional mcdonald life costumer service third person line food,1 star,0,0.31752592,"Bad service, wrong orders, rude staff",1,negative
10998,sandwich crispy pice hamburger bread,1 star,5,0.43333992,"Miscellanous, general complains about environment",1,negative
10999,staff great attentive food perfect great location,5 stars,1,0.7587167,"Fast and quick service, clean place, friendly staff",5,positive
11000,mcdonald folk itjo,5 stars,0,0.72026277,"Bad service, wrong orders, rude staff",5,positive
11001,service bad employee english confrontation black fat girl old bag wheelchair fight old lady black gorilla,2 stars,3,0.47628444,"Food quality issues (cold/old fries, burgers, nuggets)",2,negative
11002,slow service night time slow care customer order day recomended order kiosk,1 star,0,0.50041837,"Bad service, wrong orders, rude staff",1,negative
11003,open hour website open hour website contact impossible,1 star,4,0.7963157,"Long wait times, slow drive-thru",1,negative
11004,bad mcdonald minute cheese burger nugget quarter pounder meal cold patoto chip flat coke demand different mcdonald,1 star,3,0.45314488,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
11005,great apple fritter favorite,5 stars,2,0.5414597,"Overall good price, quality, service",5,positive
11006,less star bit bad place,1 star,0,0.55060464,"Bad service, wrong orders, rude staff",1,negative
11007,service horrible line shake machine story cash customer service,1 star,0,0.61627525,"Bad service, wrong orders, rude staff",1,negative
11008,mcdonald right amount time messed order slice cheese sandwich sauce little bit,1 star,4,0.35950223,"Long wait times, slow drive-thru",1,negative
11009,people people theire order job mcdonald standard,1 star,0,0.8798293,"Bad service, wrong orders, rude staff",1,negative
11010,food good open hour late night menu item,3 stars,4,0.6045393,"Long wait times, slow drive-thru",3,neutral
11011,waiter sundae peanut thing substitute mms,1 star,0,0.79118913,"Bad service, wrong orders, rude staff",1,negative
11012,half staff good half well management careful food,3 stars,0,0.43835053,"Bad service, wrong orders, rude staff",3,neutral
11013,bad customer service different employee condiment favor,1 star,0,0.68145245,"Bad service, wrong orders, rude staff",1,negative
11014,bad dirty restroom veeeery long line order,1 star,4,0.37943202,"Long wait times, slow drive-thru",1,negative
11015,disappointed time driving open hour update hour,2 stars,4,0.59527373,"Long wait times, slow drive-thru",2,negative
11016,power cardboard straw,3 stars,3,0.79165757,"Food quality issues (cold/old fries, burgers, nuggets)",3,neutral
11017,bad mcdonald planet rude hamburger,1 star,0,0.41696963,"Bad service, wrong orders, rude staff",1,negative
11018,free fry cashier phone manager phone complete customer satisfaction survey website,1 star,0,0.68454146,"Bad service, wrong orders, rude staff",1,negative
11019,nice table way dirty clean table bad attitude family,2 stars,1,0.61688584,"Fast and quick service, clean place, friendly staff",2,negative
11021,bad mcdonald matter time day least 1015min coffee drunk homeless people food free close alternative mcdonald,1 star,0,0.37558392,"Bad service, wrong orders, rude staff",1,negative
11022,careful large meal night time medium many notice drunk,2 stars,3,0.41734472,"Food quality issues (cold/old fries, burgers, nuggets)",2,negative
11023,terrible service order food different disaster food good,1 star,0,0.50995886,"Bad service, wrong orders, rude staff",1,negative
11024,dirty clean table whole place manager response oop lobby,1 star,1,0.4606217,"Fast and quick service, clean place, friendly staff",1,negative
11025,good,5 stars,2,0.5833332,"Overall good price, quality, service",5,positive
11026,place min food order employee many many people order customer food answer,1 star,0,0.7039735,"Bad service, wrong orders, rude staff",1,negative
11027,good location dirty order tiny table fixedtofloor barstool staff helpful,3 stars,1,0.5511856,"Fast and quick service, clean place, friendly staff",3,neutral
11028,awful staff order order wrong voice min burger joke,1 star,0,0.5098169,"Bad service, wrong orders, rude staff",1,negative
11029,uber eat extra delivery napkin ketchup straw horrible service block mcdonald extra mon,1 star,3,0.39890265,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
11030,dirty restroom life paper disfunctional,1 star,1,0.6330546,"Fast and quick service, clean place, friendly staff",1,negative
11031,food,1 star,1,0.57991064,"Fast and quick service, clean place, friendly staff",1,negative
11032,usual homeless pplz sanitary tak out norm,2 stars,5,0.29187492,"Miscellanous, general complains about environment",2,negative
11033,quick service,5 stars,1,0.72197044,"Fast and quick service, clean place, friendly staff",5,positive
11034,min order min wrong item awful place staff uneducated unhelpful negligent customer,1 star,0,0.9239174,"Bad service, wrong orders, rude staff",1,negative
11035,poor service cup water kid experience,1 star,0,0.55129194,"Bad service, wrong orders, rude staff",1,negative
11036,busy cleanliness place,3 stars,1,0.48750827,"Fast and quick service, clean place, friendly staff",3,neutral
11037,bad mcd rude meal wrong prepared manager unprofessional branch,1 star,0,0.61722475,"Bad service, wrong orders, rude staff",1,negative
11038,sister breakfast perfect minute,4 stars,2,0.39574045,"Overall good price, quality, service",4,positive
11039,minute sweet tea cold nasty,1 star,3,0.47999138,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
11040,place mess order different request kiosk strange smell cashier,2 stars,0,0.53785914,"Bad service, wrong orders, rude staff",2,negative
11041,bad mcdonald line service minute hot chocolate rude unhelpful place shame mcdonald place,1 star,0,0.653078,"Bad service, wrong orders, rude staff",1,negative
11042,steak pancake mcdonald love north,5 stars,3,0.59111917,"Food quality issues (cold/old fries, burgers, nuggets)",5,positive
11043,body road,1 star,0,0.38886586,"Bad service, wrong orders, rude staff",1,negative
11044,artisan chicken rubber buck fry tomato lettuce sandwich,2 stars,3,0.9074014,"Food quality issues (cold/old fries, burgers, nuggets)",2,negative
11045,true open hour,3 stars,4,0.54180837,"Long wait times, slow drive-thru",3,neutral
11046,serve food ice cold focus food quality,3 stars,5,0.72374755,"Miscellanous, general complains about environment",3,neutral
11047,cold food wrong order cashier joke location,1 star,0,0.4403291,"Bad service, wrong orders, rude staff",1,negative
11048,food good service organization real mess rush hour,2 stars,2,0.4491373,"Overall good price, quality, service",2,negative
11049,ice cream cone great buy whole thing doug part,4 stars,0,0.770423,"Bad service, wrong orders, rude staff",4,positive
11050,bad service day creamer coffee spoon wrong sandwich,1 star,3,0.5367488,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
11051,tasty food,5 stars,5,0.72146285,"Miscellanous, general complains about environment",5,positive
11052,disaster fast food manforget quality right service healthy department corner,1 star,0,0.4064093,"Bad service, wrong orders, rude staff",1,negative
11053,food staff greet people,2 stars,0,0.47832608,"Bad service, wrong orders, rude staff",2,negative
11054,bad mcdonald experience entire life staff snail pace people line,1 star,0,0.63264936,"Bad service, wrong orders, rude staff",1,negative
11055,bad burger dry figure way busy hot patty crazybut,1 star,5,0.3177007,"Miscellanous, general complains about environment",1,negative
11056,mcdonald ray crock world,4 stars,2,0.7217223,"Overall good price, quality, service",4,positive
11057,good late night meal tbh,5 stars,4,0.43332464,"Long wait times, slow drive-thru",5,positive
11058,place dirty badthe well management bathroom bad,1 star,0,0.4841757,"Bad service, wrong orders, rude staff",1,negative
11059,clean quick service open hour great,3 stars,1,0.5951953,"Fast and quick service, clean place, friendly staff",3,neutral
11060,bad mcdonald alot terrible staff rude shocking ketchup stare drink ignore,1 star,0,0.55452615,"Bad service, wrong orders, rude staff",1,negative
11061,bad confusion food minimum standard,1 star,4,0.49819905,"Long wait times, slow drive-thru",1,negative
11062,food ready decent time fry fresh,3 stars,1,0.42539603,"Fast and quick service, clean place, friendly staff",3,neutral
11063,food cold course milkshake machine brokenagain,1 star,5,0.49836525,"Miscellanous, general complains about environment",1,negative
11064,horrible horrible service food good,1 star,0,0.5501083,"Bad service, wrong orders, rude staff",1,negative
11065,risk homeless,1 star,5,0.58333105,"Miscellanous, general complains about environment",1,negative
11066,night manager kind considerate situation,4 stars,4,0.4333238,"Long wait times, slow drive-thru",4,positive
11067,typical dirty bathroom dirty service slow order cheap food block,3 stars,1,0.41396737,"Fast and quick service, clean place, friendly staff",3,neutral
11068,bad quality bad service note road guy,2 stars,0,0.61751294,"Bad service, wrong orders, rude staff",2,negative
11069,customer service talk people,2 stars,0,0.832503,"Bad service, wrong orders, rude staff",2,negative
11070,slow mcdonald fry taste carbonation restaurant clean,1 star,3,0.3788358,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
11071,standard mcds shady nut job am morning,4 stars,4,0.36178628,"Long wait times, slow drive-thru",4,positive
11072,big nugget pm drink food close mcdonald food,1 star,5,0.34056485,"Miscellanous, general complains about environment",1,negative
11073,bad water,1 star,0,0.72221625,"Bad service, wrong orders, rude staff",1,negative
11074,good place friend,5 stars,2,0.47048005,"Overall good price, quality, service",5,positive
11075,disappointed order lunch minute inane order mcdonald,1 star,4,0.43900663,"Long wait times, slow drive-thru",1,negative
11076,closed,1 star,4,0.58331317,"Long wait times, slow drive-thru",1,negative
11077,bad salad wrong salad employee chicken head,1 star,0,0.52075595,"Bad service, wrong orders, rude staff",1,negative
11078,dirty place manager rude,1 star,0,0.4824278,"Bad service, wrong orders, rude staff",1,negative
11079,road trip pm food gross,1 star,4,0.32796144,"Long wait times, slow drive-thru",1,negative
11080,mcdonaldsonly time head publix walgreen 71st street,5 stars,0,0.61873215,"Bad service, wrong orders, rude staff",5,positive
11081,legit night homie,2 stars,4,0.58332974,"Long wait times, slow drive-thru",2,negative
11082,food slow service restaurant,1 star,1,0.59657556,"Fast and quick service, clean place, friendly staff",1,negative
11083,mcdonald see lot improvement staff good work,5 stars,0,0.58821476,"Bad service, wrong orders, rude staff",5,positive
11084,least expensive meal bite,5 stars,3,0.26777992,"Food quality issues (cold/old fries, burgers, nuggets)",5,positive
11085,bad mcdonald dirty bad service arrogant staff business,1 star,0,0.50302094,"Bad service, wrong orders, rude staff",1,negative
11086,spanish harbor experience restaurant,1 star,0,0.7906237,"Bad service, wrong orders, rude staff",1,negative
11087,horriblebad customer servicedirty store men,1 star,1,0.79106635,"Fast and quick service, clean place, friendly staff",1,negative
11088,man window door people people,1 star,4,0.8601536,"Long wait times, slow drive-thru",1,negative
11089,slow table unused ketchup pouch,1 star,4,0.39578468,"Long wait times, slow drive-thru",1,negative
11090,employee unhelpful unhappy order wrong time,2 stars,0,0.73766667,"Bad service, wrong orders, rude staff",2,negative
11091,quarter pounder friendly,2 stars,3,0.5416611,"Food quality issues (cold/old fries, burgers, nuggets)",2,negative
11092,bad mcdonald horrible food bad fast food restaurant area,1 star,0,0.45645222,"Bad service, wrong orders, rude staff",1,negative
11093,service slow order item,3 stars,0,0.5207214,"Bad service, wrong orders, rude staff",3,neutral
11094,bad mcdonald food gross place dirty save,1 star,0,0.39461097,"Bad service, wrong orders, rude staff",1,negative
11095,worker sloppy food customer food cold act attitude worker job well customer service representation,1 star,0,0.7243735,"Bad service, wrong orders, rude staff",1,negative
11096,bad mcdonald rude attendent french fry soda dirty water bunch homeless restaurant money,1 star,0,0.45688155,"Bad service, wrong orders, rude staff",1,negative
11097,bad life bad service terrible food minute,1 star,0,0.71640766,"Bad service, wrong orders, rude staff",1,negative
11098,service horrible enough staff order right afte,1 star,0,0.8805604,"Bad service, wrong orders, rude staff",1,negative
11099,order people line problem,1 star,4,0.8325052,"Long wait times, slow drive-thru",1,negative
11100,lovely price location fast food great hungry little money rs,5 stars,1,0.4453634,"Fast and quick service, clean place, friendly staff",5,positive
11101,bad special thank mcdo wifi,1 star,2,0.32745817,"Overall good price, quality, service",1,negative
11102,bad experience order long time lot people,1 star,0,0.45697188,"Bad service, wrong orders, rude staff",1,negative
11103,easy access southbeach good customer service,5 stars,1,0.46489787,"Fast and quick service, clean place, friendly staff",5,positive
11104,awful filthy place ice cream place zoo paper food ground horrible,1 star,0,0.3973218,"Bad service, wrong orders, rude staff",1,negative
11105,good lot,5 stars,2,0.38889006,"Overall good price, quality, service",5,positive
11106,service good quick place clean,5 stars,1,0.66581637,"Fast and quick service, clean place, friendly staff",5,positive
11107,restaurant good awhile place order,4 stars,2,0.43740097,"Overall good price, quality, service",4,positive
11108,pickle pickle service normal burger,3 stars,3,0.52777326,"Food quality issues (cold/old fries, burgers, nuggets)",3,neutral
11109,service food horrible order number wait food food bk fly place unsanitary,1 star,0,0.71331686,"Bad service, wrong orders, rude staff",1,negative
11110,tense enviroment tourist local english youth punk great time,4 stars,4,0.6408681,"Long wait times, slow drive-thru",4,positive
11111,bad staff rude customer conceited ignorant self absoluteness wait cost,1 star,0,0.7958401,"Bad service, wrong orders, rude staff",1,negative
11112,bad,1 star,0,0.583332,"Bad service, wrong orders, rude staff",1,negative
11113,absolute nightmare congested slow order employee,1 star,0,0.40420705,"Bad service, wrong orders, rude staff",1,negative
11114,poor management kiosk monitor place understaffed additional sauce incorrect item,1 star,3,0.3385368,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
11115,place bad mcdonald rude staff dirty inability ordersendless,1 star,0,0.4917562,"Bad service, wrong orders, rude staff",1,negative
11116,half machine control front people kiosk different experience,2 stars,0,0.90707594,"Bad service, wrong orders, rude staff",2,negative
11117,horrible place bad service shame visit place messstaff inappropriate way,1 star,0,0.5532245,"Bad service, wrong orders, rude staff",1,negative
11118,busy meal order condiment,3 stars,0,0.63123685,"Bad service, wrong orders, rude staff",3,neutral
11119,bad area lot addict exist country,1 star,5,0.5278573,"Miscellanous, general complains about environment",1,negative
11120,large,3 stars,3,0.58333045,"Food quality issues (cold/old fries, burgers, nuggets)",3,neutral
11121,kiosk terrible restroom article article job mcd,2 stars,0,0.5839953,"Bad service, wrong orders, rude staff",2,negative
11122,selfservice machine terrible service wrong meal arguing right,1 star,0,0.4590933,"Bad service, wrong orders, rude staff",1,negative
11123,boy rude manager well dining area mess,1 star,0,0.45552388,"Bad service, wrong orders, rude staff",1,negative
11124,management,1 star,0,0.58315593,"Bad service, wrong orders, rude staff",1,negative
11125,fast service good icecream terrible smell rude people,2 stars,0,0.31940636,"Bad service, wrong orders, rude staff",2,negative
11126,bad mcdonald manager rude drive thru,1 star,0,0.5648133,"Bad service, wrong orders, rude staff",1,negative
11127,place day vacation violent food poisoning food hour mark,1 star,1,0.5314082,"Fast and quick service, clean place, friendly staff",1,negative
11128,crazy wait night self service kiosk cashier open horribe,1 star,0,0.4113388,"Bad service, wrong orders, rude staff",1,negative
11129,beggar customer area pickpocket cashier less change pocket difference,1 star,0,0.458087,"Bad service, wrong orders, rude staff",1,negative
11130,busy food hot,5 stars,5,0.79096705,"Miscellanous, general complains about environment",5,positive
11131,night row sauce,1 star,4,0.5416116,"Long wait times, slow drive-thru",1,negative
11132,quick bite low cash mcds bathroom oof,3 stars,1,0.30945975,"Fast and quick service, clean place, friendly staff",3,neutral
11133,bad mcdonal bad customer attention local dirty food good quality service place tourist point,1 star,1,0.37704438,"Fast and quick service, clean place, friendly staff",1,negative
11134,bad service people line service bad recommend,1 star,0,0.61441237,"Bad service, wrong orders, rude staff",1,negative
11135,order meal large food customer,3 stars,0,0.523687,"Bad service, wrong orders, rude staff",3,neutral
11137,road hamburger cheeseburger weird thing specialty sandwich little inconvenient,3 stars,3,0.4663116,"Food quality issues (cold/old fries, burgers, nuggets)",3,neutral
