Unnamed: 0,review,rating,topic,topic_probability,topic_label,rating_number_only,sentiment
62,order young lady drive thru issue order order second window huge bag stuff little bit check order item fry first window 2nd window lady second window fry receipt bag order lady second lady due inconvenience order correct ownership wrong show compassion prude fry manager,2 stars,4,0.52680475,"Long wait times, slow drive-thru",2,negative
63,order wrong employee change lot quick nice low location total welcome change haha,5 stars,4,0.4474198,"Long wait times, slow drive-thru",5,positive
64,fry container sauce dining room reason fun back line sauce fry great huge part mcdonald guy,3 stars,3,0.29915816,"Food quality issues (cold/old fries, burgers, nuggets)",3,neutral
65,extra star staff polite drive issue order wrong ask fix leave minute new new people order wrong repeat time sure right need sure whole ticket quarter pounder multi menu choice bacon lettuce tomato tea dish soap fountain funky taste numerous time fry,2 stars,0,0.5326733,"Bad service, wrong orders, rude staff",2,negative
66,wrong order,1 star,0,0.72201467,"Bad service, wrong orders, rude staff",1,negative
67,mcdonald bad inventory short bbq sauce conspiracy lover mcy nugget bbq sauce sauce overall self,2 stars,3,0.35997388,"Food quality issues (cold/old fries, burgers, nuggets)",2,negative
68,uber connectivity issue order location know fault mcdonald address issue phone hook attempt call dial tone place short staffed people,1 star,4,0.9534747,"Long wait times, slow drive-thru",1,negative
69,meal large fry large drink ticket medium drink much single parent little bit money unhealthy food wasting money,1 star,3,0.7062635,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
70,customer service good staff game money management jock phone night next visit,1 star,0,0.4694884,"Bad service, wrong orders, rude staff",1,negative
71,nugget way salty crunchy mean cashier middle order nice polite fry cold good place food affordable price,3 stars,3,0.46908334,"Food quality issues (cold/old fries, burgers, nuggets)",3,neutral
72,morning worker tired hell sure odd machine total silence rude friendly sound peppy full life am nice,3 stars,0,0.53804964,"Bad service, wrong orders, rude staff",3,neutral
73,drive half hour trouble explanation second window least dozen soda first time bad service middle day hour,1 star,4,0.6160672,"Long wait times, slow drive-thru",1,negative
74,dry make let macdonald meat bun open bag cheese hamburger wrapper,1 star,3,0.23384365,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
75,buyer fast food cheap love particular location place frequent location incorrect item time order order premise note correct mistake consideration rest food cold soggy time,1 star,4,0.4683557,"Long wait times, slow drive-thru",1,negative
76,service item error small location good place quick bite,4 stars,1,0.34159854,"Fast and quick service, clean place, friendly staff",4,positive
77,cashier nice clean food,5 stars,1,0.61486596,"Fast and quick service, clean place, friendly staff",5,positive
